t[s],AI 0 (V),AI 2 (V),AI 4 (V),AI 1 (A),AI 3 (A),AI 5 (A)
-1.97708,-1295.58,1550.52,-255.081,6.10352,3.05176,-8.54492
-1.97704,-1220.57,1543.84,-323.965,9.76563,4.88281,-6.71387
-1.977,-1234.07,1517.4,-284.304,9.76563,2.44141,-9.76563
-1.97696,-1236.44,1505.57,-271.78,10.9863,4.27246,-7.32422
-1.97692,-1185.09,1484.84,-302.534,7.32422,0.610352,-10.376
-1.97688,-1339.56,1541.48,-209.297,4.88281,3.66211,-13.4277
-1.97684,-1269.7,1474.54,-205.679,4.27246,2.44141,-12.207
-1.9768,-1324.11,1484.7,-167.41,4.88281,3.05176,-9.15527
-1.97676,-1282.22,1456.73,-177.986,5.49316,7.32422,-14.6484
-1.97672,-1299.9,1441,-142.778,3.66211,0,-13.4277
-1.97668,-1299.48,1435.99,-136.516,5.49316,2.44141,-7.32422
-1.97664,-1299.76,1428.9,-130.393,4.27246,4.88281,-4.88281
-1.9766,-1311.45,1408.16,-94.7681,6.10352,4.88281,-7.32422
-1.97656,-1301.7,1385.06,-83.6353,3.05176,2.44141,-9.76563
-1.97652,-1310.75,1376.43,-63.8745,3.05176,-0.610352,-12.207
-1.97648,-1369.48,1371.98,-3.75732,0,1.83105,-14.6484
-1.97644,-1325.92,1362.8,-38.1299,1.2207,2.44141,-12.207
-1.9764,-1380.19,1375.04,2.92236,1.2207,0,-13.4277
-1.97636,-1407.74,1378.66,23.2397,0.610352,0.610352,-7.93457
-1.97632,-1371.42,1313.81,57.1948,4.27246,1.2207,-7.32422
-1.97628,-1377.41,1324.25,51.2109,1.83105,3.05176,-7.93457
-1.97624,-1407.47,1333.15,70.9717,-1.2207,1.2207,-12.207
-1.9762,-1334.27,1301.29,26.5796,-1.83105,-1.2207,-14.6484
-1.97616,-1420.55,1292.1,126.218,-1.83105,0,-12.8174
-1.97612,-1433.07,1296,144.866,0,0.610352,-9.76563
-1.97608,-1466.75,1285,182.021,-0.610352,0.610352,-6.10352
-1.97604,-1478.85,1280.27,193.711,6.10352,2.44141,-4.27246
-1.976,-1472.31,1255.22,215.281,4.27246,2.44141,-9.15527
-1.97596,-1473.85,1237.55,236.433,4.27246,4.27246,-6.10352
-1.97592,-1530.34,1251.61,279.294,-3.05176,-0.610352,-7.93457
-1.97588,-1419.85,1192.88,225.579,-1.83105,1.83105,-12.207
-1.97584,-1530.21,1211.81,318.955,-2.44141,0,-11.5967
-1.9758,-1535.63,1190.24,342.195,-3.66211,-2.44141,-14.6484
-1.97576,-1506.69,1149.32,360.703,1.2207,0.610352,-0.610352
-1.97572,-1545.1,1125.39,423.604,1.83105,4.27246,-1.83105
-1.97568,-1579.89,1154.06,423.325,-2.44141,0.610352,-2.44141
-1.97564,-1580.72,1133.04,447.678,2.44141,2.44141,-3.05176
-1.9756,-1614.54,1156.84,453.105,-4.88281,-1.83105,-6.10352
-1.97556,-1738.53,1150.99,584.473,-6.10352,1.2207,-10.376
-1.97552,-1601.46,1086.56,513.362,-7.93457,0,-10.9863
-1.97548,-1618.99,1064.99,552.744,-5.49316,-1.83105,-12.8174
-1.97544,-1688.01,1086.84,600.754,-3.05176,0.610352,-9.76563
-1.9754,-1504.32,971.477,528.669,-1.83105,2.44141,0.610352
-1.97536,-1615.37,1006.27,607.017,-0.610352,2.44141,1.83105
-1.97532,-1633.04,990.125,641.528,0.610352,2.44141,1.2207
-1.97528,-1636.52,968.416,667.69,1.2207,5.49316,2.44141
-1.97524,-1730.04,997.5,731.565,-4.88281,3.05176,-2.44141
-1.9752,-1628.73,945.176,682.302,-2.44141,1.2207,-5.49316
-1.97516,-1641.25,914.421,725.859,-5.49316,0,-5.49316
-1.97512,-1625.39,901.897,717.927,-6.10352,-1.2207,-10.376
-1.97508,-1642.09,949.907,684.529,-6.71387,2.44141,-4.27246
-1.97504,-1597.42,855.139,740.61,-6.10352,1.2207,-0.610352
-1.975,-1620.1,853.887,763.433,-2.44141,3.66211,1.83105
-1.97496,-1624.14,835.796,787.368,-3.05176,4.27246,2.44141
-1.97492,-1691.21,860.149,828.281,-4.88281,-0.610352,-2.44141
-1.97488,-1626.5,814.226,810.33,-3.66211,0.610352,-2.44141
-1.97484,-1603.4,798.083,804.763,-8.54492,-3.05176,-9.15527
-1.9748,-1622.05,791.682,831.204,-6.10352,0.610352,-6.10352
-1.97476,-1687.46,822.854,859.036,-7.93457,3.66211,-3.66211
-1.97472,-1589.35,750.491,838.997,-3.05176,2.44141,-0.610352
-1.97468,-1612.59,750.352,861.958,-3.66211,0.610352,-0.610352
-1.97464,-1617.74,744.646,870.168,-1.83105,4.88281,3.05176
-1.9746,-1634.3,742.419,888.398,-3.05176,3.66211,-0.610352
-1.97456,-1654.89,741.724,910.247,-9.76563,-1.83105,-3.66211
-1.97452,-1603.82,703.176,899.114,-6.10352,0.610352,-3.05176
-1.97448,-1607.16,680.215,926.389,-5.49316,0.610352,-0.610352
-1.97444,-1593.66,646.399,943.784,-0.610352,6.71387,-5.49316
-1.9744,-1650.02,701.506,936.13,-3.66211,3.66211,4.88281
-1.97436,-1596.72,623.159,973.843,-0.610352,2.44141,3.66211
-1.97432,-1597.42,607.434,987.62,-3.05176,3.05176,1.2207
-1.97428,-1579.33,593.101,987.063,-6.10352,0,0.610352
-1.97424,-1502.93,525.469,971.338,-8.54492,-3.66211,-3.66211
-1.9742,-1593.8,562.485,1028.12,-10.376,-1.2207,-4.27246
-1.97416,-1581,525.469,1053.86,-9.76563,0,-1.83105
-1.97412,-1576.68,508.213,1065.13,-6.71387,0.610352,-1.83105
-1.97408,-1616.48,499.585,1113,-4.27246,-0.610352,3.66211
-1.97404,-1568.89,466.604,1098.95,-3.66211,1.83105,9.76563
-1.974,-1556.09,436.128,1118.57,-1.83105,3.66211,7.32422
